activation,hidden_dim,train_loss,train_accuracy,val_loss,val_accuracy,train_time,parameters
relu,16,0.17691925168037415,0.9305555820465088,0.1671115607023239,0.9416666626930237,2.0822487999994337,65
tanh,16,0.21333512663841248,0.9166666865348816,0.1921251118183136,0.925000011920929,1.8568470000000161,65
sigmoid,16,0.30136942863464355,0.8777777552604675,0.2808714509010315,0.875,1.8837975000005827,65
sigmoid,4,0.30717870593070984,0.8805555701255798,0.29209649562835693,0.875,1.7883215000001655,17
tanh,4,0.3018943667411804,0.8777777552604675,0.2942140996456146,0.8666666746139526,1.9277644999992845,17
relu,4,0.2927630543708801,0.8805555701255798,0.29708555340766907,0.875,1.9198566999994,17
